imageId,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1,2.16E+00,2.29E+00,0.00E+00,8.64E-01,3.63E+00,0.00E+00,3.02E+00,2.96E+00,1.95E+00,1.32E+00,2.16E+00,0.00E+00,3.02E+00,1.02E+00,0.00E+00
1,2.00E+00,2.84E+00,0.00E+00,1.27E+00,2.81E+00,0.00E+00,2.43E+00,2.35E+00,1.15E+00,2.02E+00,2.37E+00,0.00E+00,3.38E+00,1.72E+00,0.00E+00
1,2.08E+00,2.15E+00,0.00E+00,6.43E-01,3.27E+00,0.00E+00,2.00E+00,3.13E+00,1.75E+00,2.36E+00,1.48E+00,0.00E+00,3.19E+00,7.39E-01,0.00E+00
1,2.35E+00,2.05E+00,0.00E+00,1.25E+00,3.29E+00,0.00E+00,2.53E+00,2.53E+00,1.36E+00,2.32E+00,2.39E+00,0.00E+00,3.83E+00,8.92E-01,0.00E+00
1,1.88E+00,2.49E+00,0.00E+00,1.13E+00,2.92E+00,0.00E+00,2.85E+00,2.72E+00,1.52E+00,1.66E+00,2.28E+00,0.00E+00,3.92E+00,2.03E+00,0.00E+00
1,2.98E-01,2.77E+00,0.00E+00,1.39E+00,3.19E+00,0.00E+00,3.02E+00,2.22E+00,2.88E+00,4.01E+00,2.50E+00,0.00E+00,3.53E+00,2.28E+00,0.00E+00
1,2.44E+00,3.77E+00,0.00E+00,1.86E-01,2.74E+00,0.00E+00,5.27E+00,1.96E+00,2.00E+00,1.20E+00,3.33E+00,0.00E+00,2.13E+00,2.74E+00,0.00E+00
1,1.87E+00,3.45E+00,0.00E+00,9.25E-01,3.40E+00,0.00E+00,3.08E+00,2.89E+00,2.34E+00,2.52E+00,1.91E+00,0.00E+00,2.30E+00,6.18E-01,0.00E+00
1,1.78E+00,2.93E+00,0.00E+00,1.66E+00,3.31E+00,0.00E+00,3.91E+00,2.97E+00,3.01E-01,2.50E+00,3.86E+00,0.00E+00,4.03E+00,1.43E+00,0.00E+00
1,2.18E+00,3.34E+00,0.00E+00,1.07E+00,4.38E+00,0.00E+00,2.64E+00,3.16E+00,4.10E+00,3.03E+00,1.95E+00,0.00E+00,2.53E+00,9.27E-01,0.00E+00
1,3.54E+00,2.63E+00,0.00E+00,2.30E+00,3.47E+00,0.00E+00,2.83E+00,1.66E+00,1.24E+00,2.46E+00,3.74E+00,0.00E+00,4.28E+00,1.21E+00,0.00E+00
1,2.77E+00,2.36E+00,0.00E+00,1.74E+00,3.17E+00,0.00E+00,3.18E+00,3.31E+00,2.34E+00,2.39E+00,2.22E+00,0.00E+00,3.98E+00,2.12E+00,0.00E+00
1,2.04E+00,2.59E+00,0.00E+00,1.58E+00,2.84E+00,0.00E+00,3.35E+00,3.03E+00,2.53E+00,2.62E+00,1.93E+00,0.00E+00,4.08E+00,1.64E+00,0.00E+00
1,1.50E+00,2.59E+00,0.00E+00,1.02E+00,2.89E+00,0.00E+00,4.00E+00,3.43E+00,1.70E+00,2.49E+00,3.40E+00,0.00E+00,3.91E+00,1.44E+00,0.00E+00
1,1.48E+00,2.83E+00,0.00E+00,6.86E-01,4.12E+00,0.00E+00,3.28E+00,3.58E+00,2.20E+00,1.76E+00,2.63E+00,0.00E+00,2.41E+00,1.49E+00,0.00E+00
1,2.09E+00,3.69E+00,0.00E+00,2.01E+00,3.04E+00,0.00E+00,2.50E+00,1.99E+00,1.55E+00,1.70E+00,1.82E+00,0.00E+00,3.36E+00,1.24E+00,0.00E+00
1,2.27E+00,2.90E+00,0.00E+00,1.72E+00,2.24E+00,0.00E+00,2.43E+00,2.54E+00,1.32E+00,2.39E+00,2.05E+00,0.00E+00,4.40E+00,9.81E-01,0.00E+00
1,1.73E+00,1.93E+00,0.00E+00,1.07E+00,3.05E+00,0.00E+00,3.00E+00,3.41E+00,1.77E+00,2.16E+00,2.35E+00,0.00E+00,4.03E+00,1.06E+00,0.00E+00
1,1.93E+00,2.92E+00,0.00E+00,1.11E+00,3.04E+00,0.00E+00,3.05E+00,2.54E+00,2.52E+00,1.57E+00,2.52E+00,0.00E+00,3.51E+00,1.04E+00,0.00E+00
1,1.93E+00,2.75E+00,0.00E+00,1.18E+00,2.93E+00,0.00E+00,2.50E+00,2.17E+00,1.35E+00,1.58E+00,3.08E+00,0.00E+00,3.75E+00,1.35E+00,0.00E+00
1,1.01E+00,2.73E+00,0.00E+00,1.93E-01,3.26E+00,0.00E+00,3.26E+00,4.31E+00,1.91E+00,2.25E+00,4.12E+00,0.00E+00,3.21E+00,1.31E+00,0.00E+00
1,7.67E-01,3.44E+00,0.00E+00,8.71E-01,4.72E+00,0.00E+00,2.89E+00,2.99E+00,1.92E+00,9.99E-01,2.73E+00,0.00E+00,2.36E+00,1.69E+00,0.00E+00
1,1.60E+00,4.33E+00,0.00E+00,1.04E+00,2.50E+00,0.00E+00,2.41E+00,2.81E+00,7.99E-01,1.63E+00,2.98E+00,0.00E+00,3.32E+00,1.23E+00,0.00E+00
1,1.28E+00,3.08E+00,0.00E+00,1.18E+00,3.69E+00,0.00E+00,2.10E+00,3.09E+00,2.03E+00,1.77E+00,2.05E+00,0.00E+00,3.44E+00,5.18E-01,0.00E+00
1,1.86E+00,3.38E+00,0.00E+00,1.56E+00,2.78E+00,0.00E+00,2.68E+00,2.10E+00,8.69E-01,1.79E+00,3.11E+00,0.00E+00,4.17E+00,1.25E+00,0.00E+00
1,1.54E+00,3.10E+00,0.00E+00,8.76E-01,2.98E+00,0.00E+00,2.58E+00,2.93E+00,2.21E+00,1.64E+00,2.21E+00,0.00E+00,3.80E+00,1.37E+00,0.00E+00
1,1.22E+00,2.24E+00,0.00E+00,9.24E-01,3.36E+00,0.00E+00,1.63E+00,2.96E+00,1.16E+00,1.88E+00,3.34E+00,0.00E+00,3.25E+00,1.11E+00,0.00E+00
1,9.23E-01,2.36E+00,0.00E+00,4.19E-01,4.07E+00,0.00E+00,1.69E+00,3.61E+00,1.45E+00,1.78E+00,3.65E+00,0.00E+00,2.42E+00,1.32E+00,0.00E+00
1,9.92E-01,2.78E+00,0.00E+00,1.02E+00,4.38E+00,0.00E+00,1.02E+00,3.38E+00,1.24E+00,1.60E+00,3.54E+00,0.00E+00,1.91E+00,1.38E+00,0.00E+00
1,1.19E+00,2.75E+00,0.00E+00,1.24E+00,4.10E+00,0.00E+00,3.76E-01,3.27E+00,9.91E-01,1.83E+00,3.38E+00,0.00E+00,2.32E+00,1.30E+00,0.00E+00
1,1.31E+00,2.38E+00,0.00E+00,1.22E+00,3.96E+00,0.00E+00,2.51E-01,3.10E+00,1.03E+00,2.06E+00,3.11E+00,0.00E+00,2.82E+00,1.27E+00,0.00E+00
1,1.30E+00,2.36E+00,0.00E+00,1.46E+00,4.27E+00,0.00E+00,1.26E+00,2.32E+00,2.61E+00,4.15E+00,3.31E+00,0.00E+00,2.97E+00,1.20E+00,0.00E+00
1,3.47E+00,2.46E+00,0.00E+00,1.39E+00,4.41E+00,0.00E+00,3.69E+00,1.58E+00,3.07E+00,3.67E+00,3.80E+00,0.00E+00,2.25E+00,2.23E+00,0.00E+00
1,3.41E+00,2.96E+00,0.00E+00,1.81E+00,3.92E+00,0.00E+00,4.56E+00,1.16E+00,3.62E+00,3.99E+00,3.87E+00,0.00E+00,2.77E+00,3.86E+00,0.00E+00
1,4.25E+00,2.85E+00,0.00E+00,0.00E+00,3.66E+00,0.00E+00,5.21E+00,2.98E+00,4.66E+00,3.52E+00,5.15E+00,0.00E+00,1.22E+00,2.97E+00,0.00E+00
2,2.95E+00,1.79E+00,0.00E+00,1.58E+00,3.73E+00,0.00E+00,2.64E+00,4.35E+00,2.06E+00,2.49E+00,1.90E+00,0.00E+00,1.95E+00,9.87E-01,0.00E+00
2,1.94E+00,2.93E+00,0.00E+00,3.51E+00,2.91E+00,0.00E+00,3.64E+00,2.43E+00,1.44E+00,2.58E+00,2.38E+00,0.00E+00,4.18E+00,2.42E+00,0.00E+00
2,1.76E+00,3.35E+00,0.00E+00,1.87E+00,1.79E+00,0.00E+00,3.15E+00,3.61E+00,3.16E+00,1.93E+00,2.42E+00,0.00E+00,4.19E+00,1.18E+00,0.00E+00
2,2.93E+00,7.93E-01,0.00E+00,1.57E+00,3.93E+00,0.00E+00,2.70E+00,3.83E+00,7.34E-01,2.88E+00,1.42E+00,0.00E+00,1.99E+00,1.72E-01,0.00E+00
2,2.58E+00,2.87E+00,0.00E+00,2.88E+00,2.61E+00,0.00E+00,5.34E+00,3.49E+00,9.16E-01,3.34E+00,2.14E+00,0.00E+00,3.54E+00,2.37E+00,0.00E+00
2,2.10E+00,2.79E+00,0.00E+00,2.46E+00,2.73E+00,0.00E+00,3.06E+00,3.53E+00,2.93E+00,2.26E+00,3.10E-01,0.00E+00,3.51E+00,1.54E+00,0.00E+00
2,1.88E+00,2.74E+00,0.00E+00,3.01E+00,1.58E+00,0.00E+00,3.51E+00,2.25E+00,1.73E+00,2.56E+00,2.36E+00,0.00E+00,4.85E+00,1.05E+00,0.00E+00
2,2.31E+00,1.80E+00,0.00E+00,1.76E+00,2.68E+00,0.00E+00,2.76E+00,2.96E+00,2.83E+00,1.83E+00,2.09E+00,0.00E+00,3.56E+00,5.76E-01,0.00E+00
2,2.71E+00,2.06E+00,0.00E+00,2.46E+00,2.46E+00,0.00E+00,3.39E+00,1.97E+00,1.56E+00,1.68E+00,2.34E+00,0.00E+00,3.43E+00,1.52E+00,0.00E+00
2,2.35E+00,2.25E+00,0.00E+00,1.85E+00,2.15E+00,0.00E+00,2.83E+00,2.94E+00,2.72E+00,2.17E+00,2.08E+00,0.00E+00,3.26E+00,1.38E+00,0.00E+00
2,3.43E+00,7.03E-01,0.00E+00,2.05E+00,3.56E+00,0.00E+00,2.46E+00,2.91E+00,1.89E+00,3.45E+00,1.14E+00,0.00E+00,2.26E+00,1.21E-01,0.00E+00
2,3.18E+00,2.00E+00,0.00E+00,2.96E+00,2.49E+00,0.00E+00,4.88E+00,2.33E+00,1.53E+00,3.00E+00,2.59E+00,0.00E+00,4.39E+00,2.53E+00,0.00E+00
2,1.55E+00,2.28E+00,0.00E+00,1.02E+00,2.59E+00,0.00E+00,4.10E+00,4.81E+00,3.40E+00,2.80E+00,3.20E+00,0.00E+00,3.29E+00,1.78E+00,0.00E+00
2,1.86E+00,2.68E+00,0.00E+00,2.63E+00,4.48E+00,0.00E+00,2.86E+00,1.91E+00,3.80E+00,1.86E+00,2.48E+00,0.00E+00,2.52E+00,7.68E-01,0.00E+00
2,3.94E+00,2.77E+00,0.00E+00,3.06E+00,2.10E+00,0.00E+00,3.00E+00,1.68E+00,1.08E+00,2.57E+00,3.33E+00,0.00E+00,3.32E+00,1.81E+00,0.00E+00
2,1.47E+00,2.07E+00,0.00E+00,2.21E+00,2.78E+00,0.00E+00,3.93E+00,3.63E+00,2.95E+00,2.66E+00,2.48E+00,0.00E+00,4.16E+00,2.81E+00,0.00E+00
2,1.88E+00,2.72E+00,0.00E+00,1.48E+00,2.61E+00,0.00E+00,3.13E+00,3.40E+00,2.96E+00,1.65E+00,2.41E+00,0.00E+00,2.82E+00,9.37E-01,0.00E+00
2,2.02E+00,2.16E+00,0.00E+00,2.37E+00,3.21E+00,0.00E+00,2.74E+00,2.53E+00,1.29E+00,2.07E+00,2.77E+00,0.00E+00,2.99E+00,1.18E+00,0.00E+00
2,2.61E+00,3.03E+00,0.00E+00,2.40E+00,2.68E+00,0.00E+00,3.08E+00,2.97E+00,2.95E+00,2.62E+00,2.51E+00,0.00E+00,3.12E+00,8.78E-01,0.00E+00
2,2.51E+00,2.06E+00,0.00E+00,3.86E+00,3.04E+00,0.00E+00,2.77E+00,1.72E+00,2.07E+00,2.15E+00,2.10E+00,0.00E+00,4.00E+00,2.01E+00,0.00E+00
2,3.06E+00,2.09E+00,0.00E+00,1.47E+00,1.72E+00,0.00E+00,2.84E+00,3.27E+00,2.68E+00,2.64E+00,3.02E+00,0.00E+00,3.02E+00,1.69E+00,0.00E+00
2,1.11E+00,1.69E+00,0.00E+00,2.55E+00,3.58E+00,0.00E+00,3.79E+00,2.79E+00,2.21E+00,2.08E+00,2.26E+00,0.00E+00,3.80E+00,2.17E+00,0.00E+00
2,2.08E+00,3.05E+00,0.00E+00,1.17E+00,2.14E+00,0.00E+00,3.25E+00,3.77E+00,2.64E+00,2.48E+00,3.43E+00,0.00E+00,2.24E+00,9.18E-01,0.00E+00
2,2.98E+00,1.12E+00,0.00E+00,1.79E+00,4.95E+00,0.00E+00,3.17E+00,4.21E+00,7.86E-01,2.49E+00,1.75E+00,0.00E+00,1.35E+00,5.21E-01,0.00E+00
2,4.00E+00,2.65E+00,0.00E+00,2.34E+00,3.02E+00,0.00E+00,4.55E+00,4.64E+00,6.52E-01,3.91E+00,1.79E+00,0.00E+00,2.37E+00,1.35E+00,0.00E+00
2,2.58E+00,2.81E+00,0.00E+00,3.17E+00,3.38E+00,0.00E+00,4.51E+00,4.41E+00,2.92E+00,2.78E+00,1.54E+00,0.00E+00,4.49E+00,1.36E+00,0.00E+00
2,2.69E+00,2.84E+00,0.00E+00,2.90E+00,2.58E+00,0.00E+00,2.98E+00,2.91E+00,2.87E+00,2.41E+00,3.19E+00,0.00E+00,4.39E+00,1.10E+00,0.00E+00
2,2.32E+00,1.49E+00,0.00E+00,2.07E+00,3.54E+00,0.00E+00,2.84E+00,3.73E+00,2.21E+00,2.52E+00,3.78E+00,0.00E+00,3.35E+00,1.48E+00,0.00E+00
2,2.20E+00,2.68E+00,0.00E+00,2.39E+00,3.39E+00,0.00E+00,3.58E+00,3.40E+00,2.49E+00,1.93E+00,2.62E+00,0.00E+00,2.77E+00,2.19E+00,0.00E+00
2,1.92E+00,3.12E+00,0.00E+00,2.30E+00,2.58E+00,0.00E+00,3.04E+00,3.49E+00,2.18E+00,2.44E+00,2.87E+00,0.00E+00,3.22E+00,1.47E+00,0.00E+00
2,2.19E+00,2.54E+00,0.00E+00,2.52E+00,3.32E+00,0.00E+00,2.49E+00,2.86E+00,2.75E+00,2.02E+00,2.36E+00,0.00E+00,3.45E+00,5.79E-01,0.00E+00
2,2.34E+00,2.40E+00,0.00E+00,2.72E+00,2.51E+00,0.00E+00,3.05E+00,2.39E+00,6.73E-01,2.06E+00,2.93E+00,0.00E+00,4.09E+00,2.22E+00,0.00E+00
2,1.98E+00,2.58E+00,0.00E+00,2.19E+00,3.01E+00,0.00E+00,2.76E+00,3.02E+00,5.00E+00,3.83E+00,1.30E+00,0.00E+00,3.01E+00,7.71E-01,0.00E+00
2,5.06E+00,6.93E-01,0.00E+00,2.42E+00,3.54E+00,0.00E+00,4.12E+00,2.83E+00,7.71E-01,3.61E+00,3.09E+00,0.00E+00,2.36E+00,4.60E-01,0.00E+00
2,3.35E+00,2.52E+00,0.00E+00,2.91E+00,3.09E+00,0.00E+00,6.16E+00,3.96E+00,2.82E+00,3.14E+00,2.58E+00,0.00E+00,4.13E+00,2.42E+00,0.00E+00
3,5.34E-01,1.59E+00,0.00E+00,1.16E+00,3.63E+00,0.00E+00,3.61E+00,4.96E+00,2.23E+00,2.88E+00,4.05E+00,0.00E+00,2.83E+00,1.99E+00,0.00E+00
3,1.98E-01,3.23E+00,0.00E+00,1.49E+00,4.52E+00,0.00E+00,4.08E+00,4.99E+00,2.13E+00,1.89E+00,4.27E+00,0.00E+00,8.45E-01,2.03E+00,0.00E+00
3,1.23E+00,3.88E+00,0.00E+00,2.92E+00,4.09E+00,0.00E+00,1.81E+00,3.41E+00,1.30E+00,1.64E+00,2.29E+00,0.00E+00,1.11E+00,1.40E+00,0.00E+00
3,1.54E+00,3.62E+00,0.00E+00,3.43E+00,2.26E+00,0.00E+00,2.13E+00,3.20E+00,9.19E-01,2.67E+00,2.89E+00,0.00E+00,3.44E+00,1.18E+00,0.00E+00
3,1.39E+00,2.23E+00,0.00E+00,2.81E+00,3.22E+00,0.00E+00,2.11E+00,3.62E+00,1.87E+00,2.32E+00,2.13E+00,0.00E+00,3.29E+00,1.11E+00,0.00E+00
3,1.54E+00,2.56E+00,0.00E+00,2.68E+00,2.53E+00,0.00E+00,3.07E+00,3.73E+00,1.51E+00,2.42E+00,3.35E+00,0.00E+00,3.01E+00,1.33E+00,0.00E+00
3,3.93E-01,2.79E+00,0.00E+00,2.31E+00,3.39E+00,0.00E+00,4.02E+00,5.31E+00,2.05E+00,2.32E+00,4.32E+00,0.00E+00,2.45E+00,1.65E+00,0.00E+00
3,7.33E-01,3.71E+00,0.00E+00,2.66E+00,4.09E+00,0.00E+00,3.38E+00,4.84E+00,1.87E+00,1.65E+00,3.68E+00,0.00E+00,1.12E+00,1.48E+00,0.00E+00
3,4.39E-01,3.77E+00,0.00E+00,4.32E+00,4.22E+00,0.00E+00,2.93E+00,2.71E+00,2.59E+00,4.93E+00,3.39E+00,0.00E+00,2.11E+00,2.06E+00,0.00E+00
3,4.27E+00,3.62E+00,0.00E+00,2.57E+00,2.75E+00,0.00E+00,3.88E+00,2.32E+00,2.37E+00,1.72E+00,3.68E+00,0.00E+00,9.63E-01,3.04E+00,0.00E+00
3,2.50E+00,2.21E+00,0.00E+00,3.20E+00,2.77E+00,0.00E+00,1.83E+00,3.28E+00,2.04E+00,2.11E+00,1.75E+00,0.00E+00,2.71E+00,1.78E+00,0.00E+00
3,1.63E+00,1.89E+00,0.00E+00,3.09E+00,2.16E+00,0.00E+00,2.33E+00,3.03E+00,1.66E+00,2.77E+00,2.16E+00,0.00E+00,3.80E+00,1.76E+00,0.00E+00
3,7.22E-01,1.77E+00,0.00E+00,1.72E+00,2.55E+00,0.00E+00,3.67E+00,5.08E+00,1.95E+00,2.58E+00,3.89E+00,0.00E+00,2.82E+00,1.19E+00,0.00E+00
3,7.20E-01,2.62E+00,0.00E+00,2.11E+00,4.44E+00,0.00E+00,3.35E+00,3.78E+00,2.03E+00,1.47E+00,2.87E+00,0.00E+00,1.09E+00,1.66E+00,0.00E+00
3,2.12E+00,3.91E+00,0.00E+00,3.43E+00,2.35E+00,0.00E+00,2.24E+00,2.41E+00,1.34E+00,1.91E+00,1.96E+00,0.00E+00,2.26E+00,1.20E+00,0.00E+00
3,1.68E+00,2.38E+00,0.00E+00,3.17E+00,2.18E+00,0.00E+00,2.21E+00,3.02E+00,1.22E+00,2.69E+00,2.46E+00,0.00E+00,3.80E+00,1.23E+00,0.00E+00
3,1.66E+00,1.91E+00,0.00E+00,2.81E+00,2.70E+00,0.00E+00,2.72E+00,3.58E+00,2.08E+00,2.03E+00,1.73E+00,0.00E+00,2.97E+00,1.41E+00,0.00E+00
3,1.64E+00,2.20E+00,0.00E+00,2.87E+00,2.14E+00,0.00E+00,2.54E+00,2.73E+00,1.37E+00,2.12E+00,1.93E+00,0.00E+00,3.10E+00,1.58E+00,0.00E+00
3,9.67E-01,2.19E+00,0.00E+00,2.34E+00,2.05E+00,0.00E+00,3.17E+00,4.04E+00,1.75E+00,2.31E+00,2.99E+00,0.00E+00,2.95E+00,1.27E+00,0.00E+00
3,9.13E-01,2.25E+00,0.00E+00,2.36E+00,3.58E+00,0.00E+00,2.59E+00,3.59E+00,2.04E+00,1.73E+00,2.69E+00,0.00E+00,1.80E+00,1.15E+00,0.00E+00
3,1.42E+00,3.20E+00,0.00E+00,3.00E+00,2.56E+00,0.00E+00,2.42E+00,2.63E+00,1.15E+00,1.99E+00,3.16E+00,0.00E+00,2.49E+00,1.57E+00,0.00E+00
3,1.28E+00,2.73E+00,0.00E+00,2.73E+00,2.67E+00,0.00E+00,2.16E+00,3.27E+00,1.64E+00,1.90E+00,2.19E+00,0.00E+00,2.88E+00,1.49E+00,0.00E+00
3,1.59E+00,2.44E+00,0.00E+00,2.68E+00,2.41E+00,0.00E+00,2.36E+00,3.42E+00,1.40E+00,2.11E+00,2.12E+00,0.00E+00,2.87E+00,9.83E-01,0.00E+00
3,1.49E+00,2.12E+00,0.00E+00,3.17E+00,2.78E+00,0.00E+00,2.27E+00,2.83E+00,1.70E+00,2.44E+00,1.83E+00,0.00E+00,2.98E+00,1.33E+00,0.00E+00
3,1.24E+00,2.11E+00,0.00E+00,2.21E+00,2.28E+00,0.00E+00,3.28E+00,4.13E+00,1.33E+00,2.90E+00,3.77E+00,0.00E+00,3.10E+00,1.32E+00,0.00E+00
3,9.38E-01,2.57E+00,0.00E+00,3.12E+00,3.89E+00,0.00E+00,3.21E+00,3.31E+00,2.30E+00,1.42E+00,1.38E+00,0.00E+00,2.09E+00,1.98E+00,0.00E+00
3,1.55E+00,3.58E+00,0.00E+00,3.02E+00,1.17E+00,0.00E+00,2.77E+00,3.15E+00,1.11E+00,2.41E+00,3.08E+00,0.00E+00,3.11E+00,1.33E+00,0.00E+00
3,5.79E-02,2.25E+00,0.00E+00,2.55E+00,3.20E+00,0.00E+00,3.80E+00,4.98E+00,2.06E+00,2.17E+00,3.44E+00,0.00E+00,2.85E+00,1.23E+00,0.00E+00
3,1.15E+00,3.49E+00,0.00E+00,2.76E+00,3.35E+00,0.00E+00,2.80E+00,3.38E+00,1.57E+00,1.30E+00,2.86E+00,0.00E+00,1.26E+00,1.35E+00,0.00E+00
3,9.55E-01,3.57E+00,0.00E+00,3.27E+00,2.47E+00,0.00E+00,2.79E+00,3.74E+00,1.02E+00,2.46E+00,3.50E+00,0.00E+00,2.69E+00,1.38E+00,0.00E+00
